request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 as scheduled; the 90-day forecast keeps at least the EUR 500 minimum.
request_192,219.53,not_affordable,not_recommended,none,,none,USD 2046 is not safe within 90 days while preserving the USD 1000 minimum balance.
request_193,162.84,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,Use the supplied installment schedule for EUR 1212.2; the forecast keeps at least the EUR 1000 minimum.
request_194,38518.02,affordable_later,wait,2025-10-23:132800,2025-10-23,none,Wait until 2025-10-23 to pay INR 132800; earlier payment would breach the INR 113600 minimum.
request_195,983.74,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,Use the supplied installment schedule for EUR 1170.4; the forecast keeps at least the EUR 700 minimum.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 as scheduled; the 90-day forecast keeps at least the EUR 500 minimum.
request_197,0,not_affordable,not_recommended,none,,none,IDR 50939000 is not safe within 90 days while preserving the IDR 26245900 minimum balance.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 as scheduled; the 90-day forecast keeps at least the INR 124300 minimum.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use the supplied installment schedule for IDR 23674000; the forecast keeps at least the IDR 25359500 minimum.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 as scheduled; the 90-day forecast keeps at least the IDR 20114600 minimum.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 as scheduled; the 90-day forecast keeps at least the IDR 17304500 minimum.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 as scheduled; the 90-day forecast keeps at least the INR 147800 minimum.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use the supplied installment schedule for EUR 1442.1; the forecast keeps at least the EUR 1400 minimum.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 as scheduled; the 90-day forecast keeps at least the EUR 1300 minimum.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 as scheduled; the 90-day forecast keeps at least the IDR 13994300 minimum.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use the supplied installment schedule for EUR 1404.7; the forecast keeps at least the EUR 900 minimum.
request_207,5777.15,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait until 2026-07-15 to pay ZAR 11830; earlier payment would breach the ZAR 13600 minimum.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000 as scheduled; the 90-day forecast keeps at least the IDR 10470700 minimum.
request_209,2870.89,not_affordable,not_recommended,none,2026-01-15,none,ZAR 56914 is not safe within 90 days while preserving the ZAR 18400 minimum balance.
request_210,801.25,affordable_with_plan,partial_payment,2026-04-06:801.25|2026-04-15:558.77,2026-04-15,none,Pay USD 1360.02 as scheduled; the 90-day forecast keeps at least the USD 2000 minimum.
request_211,563.7,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,Wait until 2024-09-15 to pay EUR 1788.6; earlier payment would breach the EUR 1500 minimum.
request_212,3798846.38,not_affordable,not_recommended,none,,none,IDR 71934000 is not safe within 90 days while preserving the IDR 29579800 minimum balance.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use the supplied installment schedule for USD 3362.4; the forecast keeps at least the USD 2100 minimum.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Use the supplied installment schedule for INR 69750; the forecast keeps at least the INR 174900 minimum.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use the supplied installment schedule for ZAR 29986; the forecast keeps at least the ZAR 15700 minimum.
request_216,705.78,affordable_later,wait,2026-08-15:3332.4,2026-08-15,none,Wait until 2026-08-15 to pay USD 3332.4; earlier payment would breach the USD 1800 minimum.
request_217,22874.52,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Use the supplied installment schedule for ZAR 37180; the forecast keeps at least the ZAR 26800 minimum.
request_218,27297450.66,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Use the supplied installment schedule for IDR 61142000; the forecast keeps at least the IDR 34477200 minimum.
request_219,688.04,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,Use the supplied installment schedule for EUR 1673.1; the forecast keeps at least the EUR 1100 minimum.
request_220,180,not_affordable,not_recommended,none,,none,EUR 3118.5 is not safe within 90 days while preserving the EUR 1100 minimum balance.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 as scheduled; the 90-day forecast keeps at least the INR 81500 minimum.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 as scheduled; the 90-day forecast keeps at least the ZAR 27300 minimum.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 as scheduled; the 90-day forecast keeps at least the EUR 800 minimum.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use the supplied installment schedule for IDR 10327000; the forecast keeps at least the IDR 22187600 minimum.
request_225,9984371.76,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-15,none,Use the supplied installment schedule for IDR 22059000; the forecast keeps at least the IDR 17670700 minimum.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 as scheduled; the 90-day forecast keeps at least the INR 209400 minimum.
request_227,12595.85,not_affordable,not_recommended,none,,none,INR 259700 is not safe within 90 days while preserving the INR 62900 minimum balance.
request_228,4656900,not_affordable,not_recommended,none,,none,IDR 63327000 is not safe within 90 days while preserving the IDR 26191200 minimum balance.
request_229,518.56,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,Use the supplied installment schedule for EUR 1526.8; the forecast keeps at least the EUR 1000 minimum.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 as scheduled; the 90-day forecast keeps at least the EUR 2000 minimum.
request_231,35410.28,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,Use the supplied installment schedule for ZAR 35706; the forecast keeps at least the ZAR 24300 minimum.
request_232,782.84,affordable_later,wait,2024-08-15:1970.1,2024-08-15,none,Wait until 2024-08-15 to pay EUR 1970.1; earlier payment would breach the EUR 2400 minimum.
request_233,0,not_affordable,not_recommended,none,,none,IDR 6241000 is not safe within 90 days while preserving the IDR 10365700 minimum balance.
request_234,251.5,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,Wait until 2026-08-15 to pay EUR 1213.3; earlier payment would breach the EUR 700 minimum.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 as scheduled; the 90-day forecast keeps at least the USD 700 minimum.
request_236,6842131.84,not_affordable,not_recommended,none,,none,IDR 52383000 is not safe within 90 days while preserving the IDR 16768600 minimum balance.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 as scheduled; the 90-day forecast keeps at least the IDR 22431500 minimum.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use the supplied installment schedule for USD 663.6; the forecast keeps at least the USD 700 minimum.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 as scheduled; the 90-day forecast keeps at least the USD 600 minimum.
request_240,20020,not_affordable,not_recommended,none,,none,INR 101200 is not safe within 90 days while preserving the INR 52800 minimum balance.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use the supplied installment schedule for IDR 21052000; the forecast keeps at least the IDR 19252000 minimum.
request_242,0,not_affordable,not_recommended,none,,none,EUR 1966.8 is not safe within 90 days while preserving the EUR 600 minimum balance.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 as scheduled; the 90-day forecast keeps at least the ZAR 19900 minimum.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 as scheduled; the 90-day forecast keeps at least the ZAR 45900 minimum.
request_245,33624.34,affordable_later,wait,2025-12-15:128500,2025-12-15,none,Wait until 2025-12-15 to pay INR 128500; earlier payment would breach the INR 94600 minimum.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use the supplied installment schedule for ZAR 64086; the forecast keeps at least the ZAR 39300 minimum.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 as scheduled; the 90-day forecast keeps at least the EUR 1300 minimum.
request_248,1019.43,affordable_with_plan,partial_payment,2025-02-07:1019.43|2025-03-15:946.17,2025-03-15,none,Pay USD 1965.6 as scheduled; the 90-day forecast keeps at least the USD 1300 minimum.
request_249,183.48,affordable_later,wait,2026-02-15:643.2,2026-02-15,none,Wait until 2026-02-15 to pay USD 643.2; earlier payment would breach the USD 600 minimum.
request_250,17404.9,not_affordable,not_recommended,none,,none,ZAR 124278 is not safe within 90 days while preserving the ZAR 35300 minimum balance.
request_251,411.34,not_affordable,not_recommended,none,,none,EUR 1513.6 is not safe within 90 days while preserving the EUR 1300 minimum balance.
request_252,5655701.89,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Wait until 2026-08-15 to pay IDR 28082000; earlier payment would breach the IDR 15152200 minimum.
request_253,1627.16,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,none,Use the supplied installment schedule for EUR 2840.2; the forecast keeps at least the EUR 2300 minimum.
request_254,813.65,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,Wait until 2025-09-15 to pay USD 3535.2; earlier payment would breach the USD 2500 minimum.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 as scheduled; the 90-day forecast keeps at least the IDR 9813900 minimum.
request_256,180215.52,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,Use the supplied installment schedule for INR 218700; the forecast keeps at least the INR 168600 minimum.
request_257,392.75,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,Wait until 2025-11-15 to pay USD 1352.4; earlier payment would breach the USD 1600 minimum.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 as scheduled; the 90-day forecast keeps at least the USD 500 minimum.
request_259,200.02,affordable_later,wait,2024-11-15:935,2024-11-15,none,Wait until 2024-11-15 to pay EUR 935; earlier payment would breach the EUR 600 minimum.
request_260,8425063.67,affordable_with_plan,partial_payment,2025-02-06:8425063.67|2025-03-15:43653936.33,2025-03-15,none,Pay IDR 52079000 as scheduled; the 90-day forecast keeps at least the IDR 20727700 minimum.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 as scheduled; the 90-day forecast keeps at least the EUR 1500 minimum.
request_262,0,not_affordable,not_recommended,none,,none,IDR 9236000 is not safe within 90 days while preserving the IDR 31018500 minimum balance.
request_263,9153.93,not_affordable,not_recommended,none,,none,ZAR 51546 is not safe within 90 days while preserving the ZAR 24100 minimum balance.
request_264,26798.22,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Wait until 2026-05-15 to pay INR 111300; earlier payment would breach the INR 59500 minimum.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 as scheduled; the 90-day forecast keeps at least the INR 189700 minimum.
request_266,821.04,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,Use the supplied installment schedule for EUR 935; the forecast keeps at least the EUR 900 minimum.
request_267,1790.91,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,Use the supplied installment schedule for EUR 1925; the forecast keeps at least the EUR 1500 minimum.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use the supplied installment schedule for EUR 2426.6; the forecast keeps at least the EUR 1400 minimum.
request_269,0,not_affordable,not_recommended,none,,none,ZAR 15490 is not safe within 90 days while preserving the ZAR 23100 minimum balance.
request_270,224.93,not_affordable,not_recommended,none,,none,USD 3028.8 is not safe within 90 days while preserving the USD 1400 minimum balance.
request_271,21582.99,affordable_later,wait,2024-10-15:91300,2024-10-15,none,Wait until 2024-10-15 to pay INR 91300; earlier payment would breach the INR 58200 minimum.
request_272,6067911.95,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Use the supplied installment schedule for IDR 13585000; the forecast keeps at least the IDR 7508600 minimum.
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-15:5104485.22,2026-04-15,none,Pay IDR 15861000 as scheduled; the 90-day forecast keeps at least the IDR 18774600 minimum.
request_274,2567.4,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Use the supplied installment schedule for EUR 2713.7; the forecast keeps at least the EUR 1800 minimum.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 as scheduled; the 90-day forecast keeps at least the IDR 12760100 minimum.
